Prospect ID,Lead Number,Company,Lead Origin,Mobile Number,Website,Time Zone,Job Title,Lead Source,Source Medium,Notes,Source Campaign,Source Content,Do Not Email,Do Not Call,Lead Stage,Lead Grade,Lead Score,Order Value,Engagement Score,TotalVisits,Page Views Per Visit,Average Time Per Visit,Last Activity,Last Activity Date,Related Landing Page Id,First Landing Page Submission Id,First Landing Page Submission Date,Created On,Modified On,Lead Conversion Date,Address 1,Address 2,Cityold,State,Country,Zip,Facebook URL,Twitter URL,LinkedIn URL,Industry,Work Area,Course Interested,Keyword,Date,Specialization,Entrance Test,How did you hear about SomeSchool,What is your current occupation,If you are a working professional,If you are a working professional please mention ,What matters most to you in choosing an ADP,Age,Next Follow Up,Search,Magazine,Newspaper Article,Welearn Forums,Newspaper,Digital Advertisement,Through Recommendations,Any other Please specify,Last Degree,Receive More Updates About Our Courses,Admission Number,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on PGDMHBSCM,Chat Group,Lead Profile,City New,Country New,Industry New,Profile Score,Asymmetrique Activity Index,Asymmetrique Profile Index,ecode,amt,eventname,Enquiry Type,Asymmetrique Activity Score,Asymmetrique Profile Score,Admission Date,I agree to pay the amount through cheque,Previous Stage,Number of Followup Calls,Asym how soon you can join program,Asymm Reason to take admission,Asymm Are you aware about SomeSchool College,Asymm Are you applying for any other form of MBA,Asym What is your expectation from this course,Asym How do you feel about taking admission,Asym What stopping you from joining course,Asym What are your concerns for taking admission,Asym preferences for selecting management course,a free copy of Mastering The Interview,What attracted you to consider SomeSchool ,you to consider SomeSchool ,Landing Page,Admission Constraints,Lead Type,Asymmetrique Scoring Model,Last Notable Activity,Last Notable Activity Date,Source Referrer,Last Visit Date,Photo Url,Stage Rotting Flag Status,Stage Rotting Flag Message,Stage Rotting Flag Modification Date,Stage Rotting Flag Additional Info,Stage Rotting Flag Level,Mailing Preferences,Twitter Id,Facebook Id,LinkedIn Id,Skype Id,Gtalk Id,Google Plus Id,Quality Score 01,Groups,Converted,Total Time Spent on Website,How did you hear about X Education,What matters most to you in choosing a course,X Education Forums,Get updates on DM Content,City,A free copy of Mastering The Interview,First Name,Last Name,Email
0029ea13-9e74-4b41-8dcf-7e0438338457,604111,"Narendra Deo University of Agriculture & Technology, Narendra Nagar, Faizabad-224 229, UttarPradesh.",API,,,,,Organic Search,,,,,No,No,Qualified,,60,,0,2.0,1.0,484.0,SMS Sent,21-07-2016 7:16,,,,03-06-2016 6:39,03-06-2016 9:37,03-06-2016 7:11,,,Lucknow,,India,,,,,,,,,,Select Specialization,MAT,Select,Unemployed,Accounting/Finance,Select,Better Career Prospects,Select,,No,No,No,No,No,No,No,,,No,,,,No,No,Leads Support,Select,Select,India,Consumer Durables,,,,,,,,,,,No,Select,Select,Select,Select,Select,Select,Select,Select,Select,Select,Select,No,,Select,,,,,SMS Sent,21-07-2016 7:16,,21-07-2016 7:16,,,,,,,,,,,,,,,,1,907,Select,Better Career Prospects,No,No,Select,No,yPiEzGQ,ynfffyh,
014b3eac-a050-4596-b0ad-0be984086a6c,657572,vinoba bhave university,Landing Page Submission,,,,,Referral Sites,,,,,No,No,Qualified,,180,,110,6.0,3.0,174.75,Email Opened,08-08-2016 11:59,52c73a3d-727c-11e5-a199-22000aa4133b,88bd5e48-a0e3-43c2-98b7-e942aac86304,28-07-2016 11:20,28-07-2016 10:14,03-08-2016 10:25,28-07-2016 11:20,,,Bengaluru,Karnataka,India,,,,,,,,,,Human Resource Management,MAT,Select,Unemployed,Accounting/Finance,Select,Better Career Prospects,Select,,No,No,No,No,No,No,No,,,No,,,,No,No,,Select,Other Metro Cities,India,Consumer Durables,,02.Medium,02.Medium,,,,,15.0,15.0,,No,Select,Select,Select,Select,Select,Select,Select,Select,Select,Select,Select,Yes,,Select,,,,2.0,Email Opened,08-08-2016 11:59,,08-08-2016 11:59,,,,,,,,,,,,,,,,1,104,Select,Better Career Prospects,No,No,Other Metro Cities,Yes,cWbDLkD,pIhohoQ,
01869caf-451c-43b8-9a05-ffdea2627fe2,606192,,Landing Page Submission,,,,,Direct Traffic,,,,,No,No,Qualified,,90,,0,3.0,3.0,56.0,Page Visited on Website,05-06-2016 18:57,52c73a3d-727c-11e5-a199-22000aa4133b,49feec15-cbe7-4a50-9dc8-7d509340ee12,05-06-2016 18:54,05-06-2016 18:54,06-06-2016 10:58,05-06-2016 18:54,,,Pune,Maharashtra,India,,,,,,,,,,E-COMMERCE,MAT,Select,Working Professional,IT-Hardware & Networking,ITES / BPO / KPO / Customer Service / Operations,Better Career Prospects,Select,,No,No,No,No,No,No,No,,,No,,Will revert after reading the email,,No,No,,Select,Tier II Cities,India,Consumer Durables,,,,,,,,,,,No,Select,Select,Next year,Required for getting promotion,Aware,Select,Networking with others,Useful,Timing,Timings,Medium Match,Yes,,Select,,Took just information,,,Modified,06-06-2016 10:58,,05-06-2016 18:57,,,,,,,,,,,,,,,,1,110,Select,Better Career Prospects,No,No,Tier II Cities,Yes,VFKxJWh,eJhBGKY,26j62bhn@xzemj.com
01b9f473-3609-4846-a0e4-ddcd1f6170ae,650330,,Landing Page Submission,,,,,Direct Traffic,,,,,No,No,Not Interested,,260,,0,9.0,1.8,195.75,Email Opened,04-08-2016 5:27,52c73a3d-727c-11e5-a199-22000aa4133b,1ce465d1-ab1b-4840-9104-f5c9ca3f8cbd,22-07-2016 10:30,22-07-2016 6:37,30-07-2016 8:10,22-07-2016 10:30,,,Mumbai,Maharashtra,India,,,,,,,,,,Finance Management,MAT,Select,Unemployed,Accounting/Finance,Select,Better Career Prospects,Select,,No,No,No,No,No,No,No,,,No,,Interested in other courses,,No,No,,Select,Mumbai,India,Consumer Durables,,02.Medium,01.High,,,,,14.0,18.0,,No,Select,Select,Select,Select,Select,Select,Select,Select,Select,Select,Select,Yes,,Select,,,,2.0,Email Opened,04-08-2016 5:27,,04-08-2016 5:27,,,,,,,,,,,,,,,,0,942,Select,Better Career Prospects,No,No,Mumbai,Yes,qwpjFif,ftYrkKE,o79c4se5@gdnyr.com
0298b9a5-fedb-408b-a284-2d357583600f,659153,mumbai university,Lead Add Form,,,,,Welingak Website,,,,,No,No,Qualified,,0,,0,,,,,,,,,30-07-2016 5:45,30-07-2016 5:50,,,,,,,,,,,,,,,,Select Specialization,MAT,Select,Unemployed,Accounting/Finance,Select,Better Career Prospects,Select,,No,No,No,No,No,No,No,,,No,,,,No,No,,Select,Select,India,Consumer Durables,,02.Medium,02.Medium,,,,,14.0,15.0,,No,Select,Select,Select,Select,Select,Select,Select,Select,Select,Select,Select,No,,Select,,,,2.0,Modified,30-07-2016 5:50,,,,,,,,,,,,,,,,,,1,889,Select,Better Career Prospects,No,No,Select,No,oTnYvKf,QTwfXGR,
0414d265-adc6-4c18-af8f-4bdd0ed44584,600528,,Landing Page Submission,,,,,Google,CPC,,SomeSchoolBrand,SomeSchool+Distance++MBA,No,No,Qualified,B,160,,0,8.0,1.6,107.33,SMS Sent,26-07-2016 10:23,6873705b-0398-11e5-981b-22000a9700b4,4de411b7-ef3b-4573-a702-4946340afba4,30-05-2016 4:21,30-05-2016 4:18,01-06-2016 9:35,30-05-2016 4:21,,,,,India,,,,,,,,,,Finance Management,MAT,Word Of Mouth,Unemployed,Accounting/Finance,Accounts / Finance / Tax / CS / Audit,Better Career Prospects,21-25,,No,No,No,No,No,No,No,,B Com + 1.5 + Fiance,No,,Will revert after reading the email,Might be,No,No,,Select,Other Cities,India,Consumer Durables,,,,,,,,,,,No,Select,1,Select,Select,Select,Select,Select,Select,Select,Select,Select,No,,Select,,,,,SMS Sent,26-07-2016 10:23,,26-07-2016 10:23,,,,,,,,,,,,,,,,1,422,Word Of Mouth,Better Career Prospects,No,No,Other Cities,No,lEuZutM,tMDqBDw,1v2pts8h@xyhor.com
0470e536-1d51-4dbb-bbc6-565f2536a7c6,629658,rudrakshi1791@gmail.com,Lead Add Form,,9610219954,,,Reference,,,,,No,No,Qualified,,0,,0,0.0,0.0,0.0,SMS Sent,27-07-2016 6:44,,,,30-06-2016 9:24,30-06-2016 9:24,,,,,,,,,,,,,,,,Hospitality Management,MAT,Select,Unemployed,Accounting/Finance,Select,Better Career Prospects,Select,,No,No,No,No,No,No,No,,,No,,Will revert after reading the email,High in Relevance,No,No,,Potential Lead,Other Metro Cities,India,Consumer Durables,,,,,,,,,,,No,Select,Select,Select,Select,Select,Select,Select,Select,Select,Select,Select,No,,Select,,,,,SMS Sent,27-07-2016 6:44,,27-07-2016 6:44,,,,,,,,,,,,,,,,1,0,Select,Better Career Prospects,No,No,Other Metro Cities,No,qmCkhmO,GVKgZZU,
06251568-3990-42b4-aaf0-eff15c51a340,636110,mumbai university,Lead Add Form,,,,,Welingak Website,,,,,No,No,Qualified,,0,,0,0.0,0.0,0.0,SMS Sent,21-07-2016 7:16,,,,07-07-2016 9:03,18-07-2016 6:27,,,,,,,,,,,,,,,,Select Specialization,MAT,Select,Unemployed,Accounting/Finance,Select,Better Career Prospects,Select,,No,No,No,No,No,No,No,,,No,,,,No,No,,Select,Select,India,Consumer Durables,,02.Medium,02.Medium,,,,,15.0,15.0,,No,Select,Select,Select,Select,Select,Select,Select,Select,Select,Select,Select,No,,Select,,,,2.0,SMS Sent,21-07-2016 7:16,,21-07-2016 7:16,,,,,,,,,,,,,,,,1,0,Select,Better Career Prospects,No,No,Select,No,RgcJNIy,wLPiTHb,
06334ac1-64a8-444c-92a7-117dcd26dea5,579802,,Landing Page Submission,,,,,Organic Search,,,,,No,No,Unreachable,,200,,0,8.0,8.0,33.71,Email Opened,23-07-2016 14:47,52c73a3d-727c-11e5-a199-22000aa4133b,7968f3f4-2f09-4afe-913c-01e196521388,01-05-2016 9:36,01-05-2016 9:33,06-07-2016 11:47,01-05-2016 9:36,,,Thane,Maharashtra,India,,,,,,,,,,Business Administration,,,,,,,,,No,No,No,No,No,No,No,,,No,,,,No,No,,,Thane & Outskirts,,,,02.Medium,01.High,,,,,13.0,17.0,,No,,,,,,,,,,,,Yes,,,,,,2.0,Email Opened,23-07-2016 14:47,,23-07-2016 14:47,,,,,,,,,,,,,,,,0,397,,,No,No,Thane & Outskirts,Yes,tjfPGzG,jcXAluU,kpsm7ugw@iauze.com
06d047cc-f884-4b9f-925e-0b9fbfc97206,583025,mumbai university,API,,,,,Olark Chat,,,,,Yes,No,Qualified,,-20,,0,0.0,0.0,0.0,SMS Sent,17-07-2016 10:38,,,,05-05-2016 11:30,03-06-2016 8:03,,,,,,,,,,,,,,,,Select Specialization,MAT,Select,Unemployed,Accounting/Finance,Select,Better Career Prospects,Select,,No,No,No,No,No,No,No,,,No,,Ringing,Not Sure,No,No,Students Support,Potential Lead,Select,India,Consumer Durables,High,02.Medium,02.Medium,,,,,13.0,16.0,,No,Select,Select,Select,Select,Select,Select,Select,Select,Select,Select,Select,No,,Select,,,,2.0,SMS Sent,17-07-2016 10:38,,17-07-2016 10:38,,,,,,,,,,,,,,,,1,0,Select,Better Career Prospects,No,No,Select,No,NjOeJJc,iGDYPWZ,
